qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/7/8,20,89.782,111
101001,78001D,2021/7/8,21,80.027,82
101001,78001D,2021/7/8,22,83.342,46
101001,78001D,2021/7/8,23,90.3,32
101001,78001D,2021/7/9,0,86.456,20
101001,78001D,2021/7/9,1,72.856,16
101001,78001D,2021/7/9,2,85.867,11
101001,78001D,2021/7/9,3,91.231,11
101001,78001D,2021/7/9,4,80.339,22
101001,78001D,2021/7/9,5,82.175,50
101001,78001D,2021/7/9,6,82.97,120
101001,78001D,2021/7/9,7,89.074,201
101001,78001D,2021/7/9,8,95.664,252
101001,78001D,2021/7/9,9,88.179,245
101001,78001D,2021/7/9,10,89.486,239
101001,78001D,2021/7/9,11,91.252,229
101001,78001D,2021/7/9,12,89.459,171
