出口站点,日期,小时,分钟,车流量
2002,2021/5/15,18,20,1
2002,2021/5/15,18,50,2
2002,2021/5/15,19,50,1
2002,2021/5/15,20,45,1
2002,2021/5/15,22,45,1
2002,2021/5/15,23,5,1
2002,2021/5/16,0,15,1
2002,2021/5/16,2,10,1
2002,2021/5/16,6,0,1
2002,2021/5/16,6,45,2
2002,2021/5/16,6,55,1
2002,2021/5/16,7,15,1
2002,2021/5/16,7,20,1
2002,2021/5/16,7,45,1
2002,2021/5/16,8,0,1
2002,2021/5/16,8,20,1
2002,2021/5/16,8,40,1
2002,2021/5/16,8,50,1
2002,2021/5/16,9,0,3
2002,2021/5/16,9,20,3
2002,2021/5/16,10,15,1
2002,2021/5/16,10,30,2
2002,2021/5/16,10,45,1
2002,2021/5/16,11,0,2
2002,2021/5/16,11,5,3
2002,2021/5/16,11,10,2
2002,2021/5/16,11,35,1
2002,2021/5/16,12,35,1
2002,2021/5/16,13,15,1
2002,2021/5/16,13,35,1
2002,2021/5/16,14,0,1
2002,2021/5/16,14,5,1
2002,2021/5/16,14,15,1
2002,2021/5/16,14,35,1
2002,2021/5/16,14,50,1
2002,2021/5/16,15,5,1
2002,2021/5/16,15,15,1
2002,2021/5/16,15,25,1
2002,2021/5/16,15,30,1
2002,2021/5/16,15,35,1
2002,2021/5/16,15,45,1
2002,2021/5/16,15,50,1
2002,2021/5/16,16,5,1
2002,2021/5/16,16,25,1
2002,2021/5/16,16,50,1
2002,2021/5/16,17,15,1
2002,2021/5/16,17,20,1
2002,2021/5/16,17,40,1
2002,2021/5/16,17,55,2
2002,2021/5/16,18,0,1
2002,2021/5/16,18,5,1
2002,2021/5/16,18,15,2
2002,2021/5/16,18,25,1
2002,2021/5/16,18,35,3
2002,2021/5/16,18,50,1
2002,2021/5/16,19,10,1
2002,2021/5/16,19,25,1
2002,2021/5/16,22,20,1
2002,2021/5/16,23,30,1
2002,2021/5/17,6,45,2
2002,2021/5/17,6,55,1
2002,2021/5/17,7,0,1
2002,2021/5/17,7,30,1
2002,2021/5/17,7,35,2
2002,2021/5/17,7,40,1
2002,2021/5/17,7,45,3
2002,2021/5/17,8,0,1
2002,2021/5/17,8,5,2
2002,2021/5/17,8,10,1
2002,2021/5/17,8,15,1
2002,2021/5/17,8,20,1
2002,2021/5/17,8,50,1
2002,2021/5/17,9,25,1
2002,2021/5/17,9,30,1
2002,2021/5/17,9,35,1
2002,2021/5/17,9,45,1
2002,2021/5/17,9,55,1
2002,2021/5/17,10,15,1
2002,2021/5/17,10,20,2
2002,2021/5/17,10,25,3
2002,2021/5/17,10,30,1
2002,2021/5/17,10,40,1
2002,2021/5/17,10,55,1
2002,2021/5/17,11,0,2
2002,2021/5/17,11,5,1
2002,2021/5/17,11,40,1
2002,2021/5/17,12,5,2
2002,2021/5/17,12,20,1
2002,2021/5/17,12,30,1
2002,2021/5/17,12,40,1
2002,2021/5/17,13,20,1
2002,2021/5/17,13,30,1
2002,2021/5/17,13,50,2
2002,2021/5/17,13,55,1
2002,2021/5/17,14,0,1
2002,2021/5/17,14,10,1
2002,2021/5/17,14,25,1
2002,2021/5/17,14,40,1
